DATUM;HOME;RESULT;VISITORS
02.09.2020;CSKA Moscow;1-0;Rubin Kazan
03.09.2020;Traktor Chelyabinsk;1-3;Avtomobilist Yekaterinburg
03.09.2020;Dinamo Riga;2-3;Barys Nur-Sultan
03.09.2020;Dynamo Minsk;5-0-DEFAULT;Jokerit Helsinki
03.09.2020;Lokomotiv Yaroslavl;7-2;Spartak Moscow
03.09.2020;Severstal Cherepovets;6-4;Amur Chabarovsk
03.09.2020;Avangard Omsk;1-0;Sibir Novosibirsk
03.09.2020;Torpedo Nizhny Novgorod;2-3;Salavat Yulaev Ufa
04.09.2020;Metallurg Magnitogorsk;2-1;Kunlun Red Star
04.09.2020;Nefetkhimik Nizhnekamsk;1-2;SKA St. Petersburg 
04.09.2020;Rubin Kazan;0-4;Vityaz Podolsk
04.09.2020;CSKA Moscow;3-1;HK Sochi
05.09.2020;Avtomobilist Yekaterinburg;1-0;Spartak Moscow
05.09.2020;Torpedo Nizhny Novgorod;4-3;Sibir Novosibirsk
05.09.2020;Lokomotiv Yaroslavl;2-0;Amur Chabarovsk
05.09.2020;Dinamo Riga;1-3;Jokerit Helsinki
05.09.2020;Dynamo Minsk;5-4 OT;Barys Nur-Sultan
05.09.2020;Severstal Cherepovets;1-4;Salavat Yulaev Ufa
05.09.2020;Avangard Omsk;2-1;Dynamo Moscow
06.09.2020;Nefetkhimik Nizhnekamsk;4-3;Vityaz Podolsk
06.09.2020;Traktor Chelyabinsk;3-1;Kunlun Red Star
06.09.2020;Metallurg Magnitogorsk;6-0;HK Sochi
06.09.2020;Rubin Kazan;3-2;SKA St. Petersburg 
07.09.2020;Dynamo Moscow;1-3;Spartak Moscow
07.09.2020;Severstal Cherepovets;2-1;Sibir Novosibirsk
07.09.2020;Dynamo Minsk;3-4;Salavat Yulaev Ufa
07.09.2020;Avangard Omsk;8-2;Amur Chabarovsk
07.09.2020;CSKA Moscow;3-1;Barys Nur-Sultan
08.09.2020;Traktor Chelyabinsk;2-3 OT;HK Sochi
08.09.2020;Avtomobilist Yekaterinburg;7-0;Kunlun Red Star
08.09.2020;Dinamo Riga;4-3;Vityaz Podolsk
08.09.2020;Torpedo Nizhny Novgorod;4-6;SKA St. Petersburg 
09.09.2020;Metallurg Magnitogorsk;3-1;Amur Chabarovsk
09.09.2020;Jokerit Helsinki;6-0;Neftekhimik Nizhnekamsk
09.09.2020;Spartak Moscow;5-3;Salavat Yulaev Ufa
09.09.2020;Dynamo Moscow;2-3;Lokomotiv Yaroslavl
09.09.2020;Dynamo Minsk;4-5;Rubin Kazan
10.09.2020;Sibir Novosibirsk;1-2 SO;CSKA Moscow
10.09.2020;Barys Nur-Sultan;3-2;Kunlun Red Star
11.09.2020;Metallurg Magnitogorsk;0-4;Avangard Omsk
11.09.2020;Avtomobilist Yekaterinburg;3-4 OT;Torpedo Nizhny Novgorod
11.09.2020;SKA St. Petersburg;4-2;Lokomotiv Yaroslavl
12.09.2020;Amur Chabarovsk;1-5;CSKA Moscow
12.09.2020;Sibir Novosibirsk;5-4;Kunlun Red Star
12.09.2020;Barys Nur-Sultan;4-5 OT;Dynamo Moscow
13.09.2020;Salavat Yulaev Ufa;3-2;Avangard Omsk
13.09.2020;Metallurg Magnitogorsk;3-1;Torpedo Nizhny Novgorod
13.09.2020;Vityaz Podolsk;2-1 SO;Severstal Cherepovets
13.09.2020;Spartak Moscow;3-4 OT;Dynamo Minsk
13.09.2020;HK Sochi;4-0;Rubin Kazan
13.09.2020;Lokomotiv Yaroslavl;2-1;Traktor Chelyabinsk
13.09.2020;SKA St. Petersburg;5-2;Neftekhimik Nizhnekamsk
14.09.2020;Amur Chabarovsk;2-4;Dynamo Moscow
14.09.2020;Sibir Novosibirsk;4-3 OT;Dinamo Riga
14.09.2020;Barys Nur-Sultan;1-2;CSKA Moscow
